timestep,return,return_avg,return_tr,nMAE,lr
2000,-225.298582,-225.298582,-231.01426,0.56,0.0002994
4000,-296.195513,-260.747048,-134.932065,0.75,0.0002988
6000,-210.709431,-244.067842,-77.886899,0.53,0.0002982
8000,-296.781776,-257.246325,-255.675075,0.75,0.0002976
10000,-250.506056,-255.898272,-169.826226,0.62,0.000297
12000,-254.021588,-255.585491,-50.382651,0.65,0.0002964
14000,-186.55086,-245.723401,-215.382177,0.47,0.0002958
16000,-217.914054,-242.247233,-196.597745,0.55,0.0002952
18000,-278.626399,-246.289362,-87.34479,0.71,0.0002946
20000,-352.900717,-256.950498,-301.718112,0.89,0.000294
22000,-288.951367,-259.859667,-105.283678,0.73,0.0002934
24000,-131.784955,-249.186775,-50.634197,0.36,0.0002928
26000,-457.422225,-265.204886,-313.289155,1.49,0.0002922
28000,-339.149308,-270.486631,-369.116801,0.91,0.0002916
30000,-289.990454,-271.786886,-50.823658,0.87,0.000291
32000,-362.079701,-277.430187,-381.141432,1.28,0.0002904
34000,-16.969984,-262.108998,-86.775476,0.07,0.0002898
36000,-23.888266,-248.874513,-23.062734,0.1,0.0002892
38000,-22.69856,-236.970515,-13.265456,0.1,0.0002886
40000,-36.103146,-226.927147,-17.060246,0.13,0.000288
42000,-57.021423,-218.513289,-28.30093,0.16,0.0002874
44000,-59.586846,-206.682856,-67.353752,0.18,0.0002868
46000,-23.173355,-197.306052,-23.048107,0.1,0.0002862
48000,-72.458363,-186.089881,-118.401425,0.2,0.0002856
50000,-41.081374,-175.618647,-41.087516,0.12,0.000285
52000,-31.998325,-164.517484,-52.538887,0.12,0.0002844
54000,-44.851641,-157.432523,-55.66063,0.14,0.0002838
56000,-72.51622,-150.162631,-60.664921,0.2,0.0002832
58000,-109.899375,-141.72628,-89.643695,0.31,0.0002826
60000,-74.274637,-127.794976,-43.833422,0.22,0.000282
62000,-74.0317,-117.048993,-85.393506,0.2,0.0002814
64000,-39.653379,-112.442414,-301.641373,0.12,0.0002808
66000,-70.141329,-93.078369,-53.342748,0.21,0.0002802
68000,-140.23506,-83.132657,-63.366895,0.43,0.0002796
70000,-66.568825,-71.961575,-61.451073,0.19,0.000279
72000,-80.259011,-57.870541,-55.667969,0.22,0.0002784
74000,-78.194868,-60.931785,-91.749252,0.21,0.0002778
76000,-51.742008,-62.324472,-68.476808,0.15,0.0002772
78000,-14.742195,-61.926654,-49.602771,0.07,0.0002766
80000,-68.451732,-63.544083,-62.507418,0.21,0.000276
82000,-78.56222,-64.621123,-62.2143,0.23,0.0002754
84000,-46.994508,-63.991506,-22.492475,0.16,0.0002748
86000,-39.056307,-64.785654,-76.196362,0.14,0.0002742
88000,-80.854753,-65.205473,-73.768095,0.24,0.0002736
90000,-121.117287,-69.207269,-55.639998,0.35,0.000273
92000,-40.012953,-69.608,-77.636495,0.14,0.0002724
94000,-133.463994,-74.038618,-56.000294,0.36,0.0002718
96000,-76.564162,-74.241015,-67.596955,0.23,0.0002712
98000,-152.841194,-76.388106,-102.396485,0.4,0.0002706
100000,-132.969607,-79.322855,-103.14169,0.36,0.00027
102000,-135.468662,-82.394703,-116.712695,0.36,0.0002694
104000,-135.356356,-87.179851,-136.681937,0.35,0.0002688
106000,-141.884338,-90.767002,-135.737191,0.37,0.0002682
108000,-143.058736,-90.908186,-117.806262,0.37,0.0002676
110000,-134.902025,-94.324846,-166.601119,0.35,0.000267
112000,-134.494988,-97.036645,-126.664257,0.35,0.0002664
114000,-173.311602,-101.792481,-95.954351,0.47,0.0002658
116000,-130.779705,-105.744366,-131.159411,0.34,0.0002652
118000,-259.935809,-118.004047,-133.219552,0.65,0.0002646
120000,-286.344317,-128.898676,-147.675799,0.73,0.000264
122000,-277.364835,-138.838807,-283.334346,0.69,0.0002634
124000,-221.865854,-147.582374,-246.90664,0.56,0.0002628
126000,-262.865009,-158.772809,-200.533075,0.68,0.0002622
128000,-236.462022,-166.553173,-249.877924,0.59,0.0002616
130000,-89.676129,-164.981115,-168.339256,0.24,0.000261
132000,-113.934428,-168.677189,-73.997855,0.3,0.0002604
134000,-208.759679,-172.441973,-205.566536,0.53,0.0002598
136000,-473.952653,-192.311397,-122.343934,1.28,0.0002592
138000,-375.649003,-203.451788,-125.182646,1.18,0.0002586
140000,-270.115165,-210.309066,-281.660492,0.74,0.000258
142000,-102.131532,-208.642209,-103.27796,0.27,0.0002574
144000,-345.539659,-219.151374,-78.774947,1.27,0.0002568
146000,-373.755479,-230.744931,-130.322432,1.33,0.0002562
148000,-476.82243,-247.433116,-317.592113,2.09,0.0002556
150000,-444.807855,-262.928408,-95.177274,1.66,0.000255
152000,-420.827811,-277.245049,-445.940084,3.08,0.0002544
154000,-272.8001,-282.219474,-108.871919,0.68,0.0002538
156000,-126.269176,-281.993947,-67.468265,0.33,0.0002532
158000,-337.427157,-285.868515,-372.221751,0.88,0.0002526
160000,-104.041625,-276.75338,-104.813024,0.27,0.000252
162000,-41.668191,-264.968548,-58.851614,0.13,0.0002514
164000,-40.260677,-255.888289,-82.171491,0.14,0.0002508
166000,-55.955339,-245.542805,-28.932212,0.18,0.0002502
168000,-69.014412,-237.170425,-52.074517,0.19,0.0002496
170000,-19.934127,-233.683325,-20.876263,0.09,0.000249
172000,-28.91513,-229.43236,-23.240606,0.1,0.0002484
174000,-35.484814,-220.768617,-31.947247,0.11,0.0002478
176000,-34.606275,-198.801298,-61.505548,0.13,0.0002472
178000,-24.350018,-181.236349,-21.341587,0.08,0.0002466
180000,-18.551942,-168.658187,-41.649918,0.07,0.000246
182000,-26.084994,-164.855861,-13.261176,0.09,0.0002454
184000,-28.650067,-149.011381,-26.53831,0.09,0.0002448
186000,-15.468117,-131.097013,-50.448571,0.06,0.0002442
188000,-16.060676,-108.058925,-24.024964,0.06,0.0002436
190000,-28.775046,-87.257285,-15.119974,0.09,0.000243
192000,-12.383811,-66.835085,-98.317401,0.05,0.0002424
194000,-21.738661,-54.282013,-22.502175,0.09,0.0002418
196000,-28.735653,-49.405337,-12.05117,0.09,0.0002412
198000,-22.064801,-33.637219,-50.546861,0.08,0.0002406
200000,-12.814722,-29.075874,-19.899592,0.05,0.00024
202000,-37.163042,-28.850616,-21.265237,0.13,0.0002394
204000,-57.737517,-29.724458,-45.386509,0.16,0.0002388
206000,-32.248868,-28.539135,-18.547835,0.12,0.0002382
208000,-25.725267,-26.374677,-29.234664,0.1,0.0002376
210000,-27.229455,-26.739444,-27.663717,0.11,0.000237
212000,-19.274837,-26.257429,-19.545717,0.09,0.0002364
214000,-28.764952,-25.921436,-12.346606,0.09,0.0002358
216000,-38.01137,-26.091691,-51.019577,0.13,0.0002352
218000,-33.774201,-26.5629,-20.328673,0.11,0.0002346
220000,-82.51558,-29.761082,-22.164473,0.24,0.000234
222000,-29.935174,-29.953591,-35.753017,0.1,0.0002334
224000,-26.023299,-29.822252,-29.38711,0.09,0.0002328
226000,-31.254614,-30.611577,-9.395983,0.1,0.0002322
228000,-30.288473,-31.322967,-35.306335,0.1,0.0002316
230000,-27.273064,-31.247868,-22.702007,0.09,0.000231
232000,-88.75104,-35.066229,-49.485093,0.24,0.0002304
234000,-23.345443,-35.146569,-26.059306,0.1,0.0002298
236000,-37.212247,-35.570398,-20.181212,0.11,0.0002292
238000,-84.350684,-38.684692,-15.189153,0.25,0.0002286
240000,-30.627683,-39.575341,-52.532842,0.1,0.000228
242000,-45.899792,-40.012178,-39.989754,0.15,0.0002274
244000,-16.488556,-37.94973,-12.667934,0.08,0.0002268
246000,-32.332026,-37.953888,-17.664561,0.1,0.0002262
248000,-51.473399,-39.241294,-23.971574,0.15,0.0002256
250000,-33.263779,-39.543011,-19.836174,0.12,0.000225
252000,-61.69694,-41.664116,-54.120132,0.17,0.0002244
254000,-25.709059,-41.511321,-33.125349,0.1,0.0002238
256000,-21.521132,-40.686809,-14.158501,0.08,0.0002232
258000,-30.948724,-40.545535,-69.756154,0.1,0.0002226
260000,-16.755636,-37.257538,-16.683926,0.08,0.000222
262000,-18.944472,-36.708003,-23.908686,0.09,0.0002214
264000,-19.55571,-36.384624,-16.495113,0.07,0.0002208
266000,-29.46726,-36.295256,-22.455032,0.11,0.0002202
