timestep,return,return_avg,return_tr,nMAE,lr
2000,-761.370991,-761.370991,-1052.599285,0.22,0.00043912
4000,-756.272836,-758.821913,-783.196819,0.23,0.00043824
6000,-919.707384,-812.450404,-794.452902,0.41,0.00043736
8000,-863.201389,-825.13815,-670.204774,0.29,0.00043648
10000,-1271.862324,-914.482985,-1299.485995,0.81,0.0004356
12000,-802.699293,-895.852369,-883.00549,0.25,0.00043472
14000,-1809.331501,-1026.349388,-841.329405,0.75,0.00043384
16000,-908.215802,-1011.58269,-708.06512,0.27,0.00043296
18000,-1860.429634,-1105.899017,-1318.768029,9.44,0.00043208
20000,-1541.938884,-1149.503004,-1403.908763,2.5,0.0004312
22000,-1281.813939,-1161.531271,-801.794936,0.46,0.00043032
24000,-1450.280504,-1185.593707,-1523.492882,1.25,0.00042944
26000,-1661.409579,-1222.194928,-1665.780265,1.2,0.00042856
28000,-1060.286527,-1210.630042,-1375.054323,0.32,0.00042768
30000,-576.912699,-1168.382219,-1560.469771,0.27,0.0004268
32000,-1642.082549,-1197.98849,-1125.562814,1.54,0.00042592
34000,-1413.999898,-1210.695043,-1147.930283,3.67,0.00042504
36000,-394.563755,-1165.354416,-523.892778,0.12,0.00042416
38000,-472.179101,-1128.871505,-292.482287,0.14,0.00042328
40000,-457.918321,-1095.323846,-312.732654,0.15,0.0004224
42000,-455.320966,-1080.021344,-431.655303,0.13,0.00042152
44000,-430.728627,-1063.744134,-392.035111,0.12,0.00042064
46000,-366.73149,-1036.095339,-306.069167,0.1,0.00041976
48000,-1125.283153,-1049.199427,-299.848783,5.77,0.00041888
50000,-1501.687039,-1060.690663,-219.81162,7.92,0.000418
52000,-378.838468,-1039.497622,-310.235266,0.12,0.00041712
54000,-326.200358,-965.341065,-431.687442,0.1,0.00041624
56000,-247.732027,-932.316876,-300.041841,0.07,0.00041536
58000,-264.735376,-852.532163,-406.466956,0.07,0.00041448
60000,-338.192281,-792.344833,-286.573249,0.1,0.0004136
62000,-352.394712,-745.873872,-326.446791,0.09,0.00041272
64000,-378.308928,-692.275293,-381.894917,0.11,0.00041184
66000,-316.093419,-625.009485,-279.505137,0.09,0.00041096
68000,-283.281394,-586.159228,-280.811197,0.08,0.00041008
70000,-409.530455,-577.790116,-305.905223,0.13,0.0004092
72000,-270.736737,-509.222825,-222.430943,0.08,0.00040832
74000,-371.811382,-457.1134,-200.882704,0.11,0.00040744
76000,-243.445021,-449.557463,-310.557504,0.07,0.00040656
78000,-440.486136,-447.972815,-265.636425,0.13,0.00040568
80000,-391.163087,-444.635053,-249.254242,0.13,0.0004048
82000,-358.529062,-439.795458,-235.278589,0.1,0.00040392
84000,-276.044415,-432.061247,-306.699023,0.08,0.00040304
86000,-367.198533,-432.084599,-293.25781,0.12,0.00040216
88000,-382.175056,-394.929194,-295.519762,0.11,0.00040128
90000,-411.725221,-340.431103,-312.957724,0.12,0.0004004
92000,-351.809068,-339.079633,-256.845918,0.1,0.00039952
94000,-301.271873,-337.833209,-366.215475,0.09,0.00039864
96000,-381.949101,-344.544063,-160.90272,0.11,0.00039776
98000,-248.477869,-343.731187,-322.347116,0.08,0.00039688
100000,-407.08411,-347.175779,-185.440563,0.12,0.000396
102000,-369.39905,-348.025996,-375.898345,0.1,0.00039512
104000,-376.177687,-347.919434,-281.429432,0.11,0.00039424
106000,-439.606064,-354.095066,-377.791457,0.12,0.00039336
108000,-345.17588,-357.18979,-304.391311,0.1,0.00039248
110000,-505.38508,-361.982522,-346.1599,0.14,0.0003916
112000,-407.425326,-368.816951,-262.06662,0.13,0.00039072
114000,-300.772434,-365.265004,-328.906924,0.09,0.00038984
116000,-329.024584,-369.543982,-358.170391,0.1,0.00038896
118000,-304.339751,-362.736663,-348.843734,0.09,0.00038808
120000,-453.03303,-365.83016,-391.800218,0.13,0.0003872
122000,-563.774057,-376.092409,-322.635084,0.18,0.00038632
124000,-375.47521,-381.063949,-347.30561,0.12,0.00038544
126000,-338.438581,-379.625952,-301.30439,0.11,0.00038456
128000,-278.11885,-374.423141,-308.675366,0.09,0.00038368
130000,-351.252344,-371.399497,-206.653283,0.11,0.0003828
132000,-295.032596,-368.560674,-272.549539,0.09,0.00038192
134000,-345.383079,-370.766234,-250.869436,0.11,0.00038104
136000,-486.567474,-375.997153,-318.98409,0.15,0.00038016
138000,-326.768236,-379.911671,-228.744378,0.1,0.00037928
140000,-382.086421,-378.661787,-301.321275,0.12,0.0003784
142000,-374.117236,-378.897696,-310.840139,0.12,0.00037752
144000,-590.882377,-389.63293,-198.503155,0.2,0.00037664
146000,-354.532962,-385.379275,-249.236798,0.11,0.00037576
148000,-366.535288,-386.447246,-217.558528,0.11,0.00037488
150000,-259.652259,-374.160605,-308.789138,0.08,0.000374
152000,-260.61839,-366.820258,-214.554813,0.08,0.00037312
154000,-275.750403,-365.569156,-228.914736,0.08,0.00037224
156000,-322.282998,-365.232077,-281.793382,0.1,0.00037136
158000,-299.393912,-364.984785,-291.305547,0.09,0.00037048
160000,-300.804088,-357.373338,-266.828775,0.09,0.0003696
162000,-347.812006,-346.575235,-337.068753,0.11,0.00036872
164000,-233.427975,-339.472874,-232.145911,0.07,0.00036784
166000,-327.42574,-338.922232,-221.482791,0.1,0.00036696
168000,-355.659035,-342.799241,-256.570381,0.11,0.00036608
170000,-347.258662,-342.599557,-224.816555,0.1,0.0003652
172000,-307.177842,-343.206819,-267.149657,0.09,0.00036432
174000,-359.538023,-343.914566,-317.162818,0.11,0.00036344
176000,-318.27267,-335.499826,-240.761665,0.1,0.00036256
178000,-293.959113,-333.85937,-237.294421,0.09,0.00036168
180000,-332.913886,-331.400743,-267.694224,0.1,0.0003608
182000,-317.600536,-328.574908,-201.724488,0.09,0.00035992
184000,-376.242791,-317.842929,-278.962699,0.12,0.00035904
186000,-421.538986,-321.19323,-346.368402,0.13,0.00035816
188000,-269.556027,-316.344267,-331.252584,0.09,0.00035728
190000,-343.284862,-320.525897,-297.121937,0.1,0.0003564
192000,-306.508076,-322.820382,-270.668763,0.1,0.00035552
194000,-374.129524,-327.739338,-293.033554,0.12,0.00035464
196000,-292.542374,-326.252307,-282.971503,0.09,0.00035376
198000,-280.020001,-325.283611,-233.945134,0.08,0.00035288
200000,-358.760244,-328.181419,-226.587033,0.11,0.000352
202000,-339.267099,-327.754173,-332.415713,0.11,0.00035112
204000,-370.000606,-334.582805,-242.602745,0.12,0.00035024
206000,-282.556488,-332.339342,-260.737936,0.09,0.00034936
208000,-275.129678,-328.312875,-233.838796,0.09,0.00034848
210000,-256.626154,-323.781249,-302.550793,0.07,0.0003476
212000,-333.321284,-325.088421,-230.893083,0.09,0.00034672
214000,-279.714778,-321.097259,-284.770028,0.08,0.00034584
216000,-314.420183,-320.904635,-270.754453,0.09,0.00034496
218000,-350.955341,-323.754446,-236.785457,0.1,0.00034408
220000,-323.50762,-323.284133,-339.147012,0.09,0.0003432
222000,-343.886209,-324.598416,-246.852707,0.1,0.00034232
224000,-395.730268,-325.57279,-202.577323,0.12,0.00034144
226000,-308.466195,-319.919151,-323.087307,0.1,0.00034056
228000,-440.713925,-328.477045,-197.104721,0.13,0.00033968
230000,-386.303845,-330.627995,-327.534333,0.11,0.0003388
232000,-295.421556,-330.073669,-224.952639,0.09,0.00033792
234000,-343.832353,-328.55881,-248.983965,0.09,0.00033704
236000,-293.183831,-328.590883,-172.777791,0.09,0.00033616
238000,-317.563358,-330.468051,-270.791554,0.09,0.00033528
240000,-380.215343,-331.540806,-260.850269,0.11,0.0003344
242000,-354.685606,-332.311731,-288.068735,0.11,0.00033352
244000,-361.41474,-331.882438,-288.228743,0.11,0.00033264
246000,-316.500474,-333.579637,-277.94719,0.1,0.00033176
248000,-340.888601,-336.867583,-232.14421,0.11,0.00033088
250000,-280.912136,-338.081882,-240.652785,0.09,0.00033
252000,-306.751974,-336.753417,-284.040943,0.09,0.00032912
254000,-397.70571,-342.652963,-328.650264,0.12,0.00032824
256000,-320.05009,-342.934459,-281.809371,0.1,0.00032736
258000,-345.531281,-342.663256,-244.083443,0.1,0.00032648
260000,-335.238753,-343.249812,-191.070531,0.1,0.0003256
262000,-267.118411,-339.411423,-187.523376,0.08,0.00032472
264000,-293.3253,-334.291174,-211.226217,0.08,0.00032384
266000,-304.538667,-334.094798,-237.791587,0.09,0.00032296
268000,-292.115899,-326.664896,-294.129168,0.09,0.00032208
270000,-388.433278,-326.771368,-148.411484,0.11,0.0003212
272000,-316.746751,-327.837628,-260.566725,0.1,0.00032032
274000,-267.976474,-324.044834,-291.723705,0.08,0.00031944
276000,-325.289683,-325.650127,-311.473769,0.1,0.00031856
278000,-353.485535,-327.446235,-373.419333,0.11,0.00031768
280000,-490.403466,-332.955642,-256.730575,0.14,0.0003168
282000,-320.989196,-331.270821,-371.888202,0.1,0.00031592
284000,-266.831164,-326.541642,-282.021072,0.08,0.00031504
286000,-340.737109,-327.753474,-191.999321,0.1,0.00031416
288000,-290.592822,-325.238685,-226.129725,0.09,0.00031328
290000,-295.243081,-325.955232,-255.860872,0.09,0.0003124
292000,-298.036111,-325.519439,-158.940708,0.1,0.00031152
294000,-323.35341,-321.801824,-193.2024,0.1,0.00031064
296000,-307.625309,-321.180585,-228.0431,0.09,0.00030976
298000,-360.489368,-321.928489,-249.026771,0.1,0.00030888
300000,-317.782389,-321.055671,-301.310351,0.1,0.000308
302000,-263.652434,-320.882372,-207.55741,0.08,0.00030712
304000,-369.462249,-324.68922,-332.838772,0.11,0.00030624
306000,-456.952068,-332.30989,-296.72984,0.15,0.00030536
308000,-264.391394,-330.923665,-313.942729,0.08,0.00030448
310000,-319.46264,-327.475133,-222.356996,0.1,0.0003036
312000,-348.725243,-329.074057,-306.309862,0.11,0.00030272
314000,-364.371164,-333.893792,-295.876938,0.11,0.00030184
316000,-385.078103,-336.883213,-210.295337,0.12,0.00030096
318000,-459.266123,-342.172242,-298.970537,0.15,0.00030008
320000,-304.624187,-332.883278,-405.829694,0.09,0.0002992
322000,-316.153109,-332.641474,-240.092327,0.09,0.00029832
324000,-328.467024,-335.723267,-263.03263,0.1,0.00029744
326000,-305.56371,-333.964597,-276.438271,0.1,0.00029656
328000,-254.958698,-332.182891,-268.16047,0.08,0.00029568
330000,-337.957098,-334.318592,-282.420891,0.11,0.0002948
332000,-381.360468,-338.484809,-305.405706,0.11,0.00029392
334000,-304.984872,-337.566382,-252.616222,0.1,0.00029304
336000,-428.387963,-343.604515,-314.829296,0.11,0.00029216
338000,-309.195311,-341.039812,-425.170972,0.1,0.00029128
340000,-247.93898,-337.547642,-358.6437,0.08,0.0002904
342000,-294.418338,-339.085937,-294.260532,0.09,0.00028952
344000,-316.067472,-336.416198,-216.108809,0.09,0.00028864
346000,-308.178899,-328.97754,-259.175539,0.1,0.00028776
348000,-364.571811,-333.986561,-197.503454,0.11,0.00028688
350000,-395.224106,-337.774634,-295.945996,0.13,0.000286
352000,-426.754267,-341.676085,-300.271078,0.12,0.00028512
354000,-352.746159,-341.094835,-318.294841,0.11,0.00028424
356000,-339.555616,-338.81871,-235.535678,0.11,0.00028336
358000,-284.611766,-330.085993,-237.316833,0.09,0.00028248
360000,-330.340172,-331.371792,-273.58175,0.1,0.0002816
362000,-328.529033,-331.990588,-356.449354,0.11,0.00028072
364000,-352.6287,-333.198672,-237.80306,0.11,0.00027984
366000,-348.127782,-335.326875,-242.096137,0.11,0.00027896
368000,-404.334419,-342.795661,-212.563329,0.11,0.00027808
370000,-280.88493,-339.942053,-335.224561,0.09,0.0002772
372000,-342.081029,-337.978081,-277.008314,0.1,0.00027632
374000,-323.562835,-338.906979,-245.866235,0.1,0.00027544
376000,-351.209916,-335.048077,-167.904309,0.11,0.00027456
378000,-266.850136,-332.930818,-344.192385,0.08,0.00027368
380000,-280.993632,-334.583551,-215.911576,0.09,0.0002728
382000,-281.574121,-333.94134,-301.064054,0.09,0.00027192
384000,-387.141826,-337.495058,-197.522614,0.12,0.00027104
386000,-313.635828,-337.767904,-234.38201,0.09,0.00027016
388000,-403.957061,-339.737167,-314.017757,0.11,0.00026928
390000,-318.429882,-335.897455,-265.260823,0.09,0.0002684
392000,-269.731918,-328.046338,-241.928072,0.08,0.00026752
394000,-276.938744,-324.255967,-273.592103,0.08,0.00026664
396000,-252.036652,-319.880019,-242.708706,0.08,0.00026576
398000,-470.855905,-329.192226,-197.079227,0.15,0.00026488
400000,-262.04345,-325.77739,-253.582108,0.08,0.000264
402000,-347.807415,-326.741309,-268.930289,0.11,0.00026312
404000,-295.20352,-323.87005,-232.017425,0.09,0.00026224
406000,-258.011528,-319.364237,-266.035614,0.08,0.00026136
408000,-309.789965,-314.637015,-290.072929,0.1,0.00026048
410000,-313.0106,-316.243298,-258.8957,0.1,0.0002596
412000,-292.851322,-313.781813,-313.515406,0.09,0.00025872
414000,-319.086612,-313.558002,-168.647052,0.1,0.00025784
416000,-338.668791,-312.930945,-334.163602,0.11,0.00025696
418000,-285.243648,-313.850621,-282.659494,0.09,0.00025608
420000,-387.544516,-319.178165,-220.810562,0.1,0.0002552
422000,-289.795635,-319.589241,-208.520562,0.09,0.00025432
424000,-384.547896,-319.459544,-174.973829,0.11,0.00025344
426000,-442.470694,-325.901288,-238.613614,0.14,0.00025256
428000,-256.169832,-318.511926,-310.221012,0.08,0.00025168
430000,-267.367149,-315.95879,-227.872917,0.08,0.0002508
432000,-270.410359,-315.992712,-210.585899,0.09,0.00024992
434000,-290.229484,-316.657249,-242.407665,0.09,0.00024904
436000,-320.490298,-320.079931,-233.9055,0.1,0.00024816
438000,-250.660921,-309.070182,-168.756134,0.08,0.00024728
440000,-257.903775,-308.863198,-213.882819,0.08,0.0002464
442000,-303.062031,-306.625929,-210.285173,0.1,0.00024552
444000,-298.890201,-306.810263,-370.153586,0.1,0.00024464
446000,-318.146796,-309.817026,-285.396409,0.1,0.00024376
448000,-359.065668,-312.280811,-259.018795,0.1,0.00024288
450000,-326.475481,-312.954055,-343.994304,0.1,0.000242
452000,-319.816026,-314.302291,-238.806896,0.1,0.00024112
454000,-269.656889,-311.830804,-225.148585,0.09,0.00024024
456000,-312.824602,-310.538595,-319.1858,0.1,0.00023936
458000,-267.040049,-309.628415,-239.033374,0.08,0.00023848
460000,-322.493083,-306.375843,-337.506756,0.1,0.0002376
462000,-516.810077,-317.726566,-290.410695,0.17,0.00023672
464000,-265.044701,-311.751406,-296.748608,0.08,0.00023584
466000,-346.739243,-306.964833,-232.295685,0.11,0.00023496
468000,-326.816857,-310.497185,-168.727774,0.11,0.00023408
470000,-249.3303,-309.595342,-289.529465,0.08,0.0002332
472000,-267.310098,-309.440329,-190.186412,0.08,0.00023232
474000,-396.353653,-314.746538,-235.071007,0.13,0.00023144
476000,-385.58877,-318.001461,-232.150823,0.11,0.00023056
478000,-255.0228,-318.219555,-290.547443,0.07,0.00022968
480000,-295.350946,-320.091914,-210.169418,0.09,0.0002288
482000,-229.271784,-316.402401,-194.190421,0.07,0.00022792
484000,-319.633043,-317.439543,-313.194658,0.09,0.00022704
486000,-362.115487,-319.637978,-242.707819,0.11,0.00022616
488000,-453.878813,-324.378635,-263.220326,0.13,0.00022528
490000,-280.33307,-322.071515,-274.791616,0.09,0.0002244
492000,-469.012479,-329.531337,-245.886462,0.14,0.00022352
494000,-283.128275,-330.204907,-295.35598,0.09,0.00022264
496000,-323.620918,-330.744722,-302.620798,0.1,0.00022176
498000,-315.538208,-333.16963,-255.938707,0.1,0.00022088
500000,-274.697972,-330.779875,-263.800999,0.09,0.00022
502000,-342.863745,-322.082558,-373.119428,0.11,0.00021912
504000,-443.447329,-331.002689,-219.809774,0.14,0.00021824
506000,-256.439791,-326.487717,-276.592981,0.08,0.00021736
508000,-503.764464,-335.335097,-236.439213,0.16,0.00021648
510000,-290.74226,-337.405695,-310.883879,0.09,0.0002156
512000,-394.980131,-343.789197,-335.095349,0.12,0.00021472
514000,-365.062524,-342.22464,-197.749325,0.11,0.00021384
516000,-315.666217,-338.728513,-280.163366,0.1,0.00021296
518000,-268.629503,-339.408848,-308.029276,0.08,0.00021208
520000,-249.802204,-337.131411,-242.09517,0.08,0.0002112
522000,-363.618846,-343.848764,-346.570774,0.11,0.00021032
524000,-281.001712,-341.917197,-313.330734,0.09,0.00020944
526000,-324.821264,-340.052486,-286.907365,0.1,0.00020856
528000,-332.07197,-333.962144,-288.2323,0.11,0.00020768
530000,-280.451594,-333.96807,-235.197471,0.09,0.0002068
532000,-329.748703,-327.004881,-212.801436,0.11,0.00020592
534000,-311.781452,-328.43754,-216.030898,0.1,0.00020504
536000,-321.333624,-328.323176,-256.550751,0.1,0.00020416
538000,-373.725603,-331.232545,-143.192045,0.1,0.00020328
540000,-393.134704,-337.154382,-195.422452,0.11,0.0002024
542000,-239.138017,-331.968096,-238.473771,0.07,0.00020152
544000,-288.748318,-324.233145,-192.938891,0.09,0.00020064
546000,-306.672128,-326.744762,-266.260961,0.1,0.00019976
548000,-320.847953,-317.598936,-247.679,0.11,0.00019888
550000,-296.677624,-317.895705,-307.755628,0.09,0.000198
552000,-471.662709,-321.729833,-266.47376,0.14,0.00019712
554000,-353.478621,-321.150638,-307.087123,0.12,0.00019624
556000,-466.902066,-328.712431,-321.186431,0.13,0.00019536
558000,-261.322333,-328.347072,-290.572683,0.08,0.00019448
560000,-343.696468,-333.041785,-244.083503,0.1,0.0001936
562000,-333.946038,-331.558145,-263.004317,0.1,0.00019272
564000,-322.808289,-333.648474,-307.243294,0.1,0.00019184
566000,-263.725506,-330.593686,-305.595183,0.08,0.00019096
568000,-279.582083,-327.969192,-206.39656,0.09,0.00019008
570000,-248.230175,-326.358121,-243.932083,0.08,0.0001892
572000,-364.215837,-328.081477,-212.174889,0.11,0.00018832
574000,-243.86919,-324.685864,-260.877731,0.08,0.00018744
576000,-297.693418,-323.503854,-394.320186,0.09,0.00018656
578000,-289.483244,-319.291736,-240.976639,0.09,0.00018568
580000,-305.899699,-314.929986,-272.665698,0.1,0.0001848
582000,-293.955712,-317.67087,-352.385938,0.09,0.00018392
584000,-263.055168,-316.386213,-186.878318,0.08,0.00018304
586000,-290.053105,-315.555262,-286.693638,0.09,0.00018216
588000,-318.938049,-315.459767,-279.763983,0.1,0.00018128
590000,-336.7461,-317.46319,-310.343369,0.1,0.0001804
592000,-264.997024,-307.129906,-215.516922,0.09,0.00017952
594000,-307.777541,-304.844852,-212.184093,0.1,0.00017864
596000,-374.764947,-300.237996,-259.114324,0.12,0.00017776
598000,-288.357154,-301.589737,-385.763434,0.09,0.00017688
600000,-327.271728,-300.7685,-226.95995,0.11,0.000176
602000,-382.000434,-303.17122,-239.175875,0.11,0.00017512
