timestep,time,return,return_avg
5999,33.683171,-5940.781394,-5940.781394
11999,60.431167,-5974.475939,-5957.628666
17999,85.871143,-5935.264771,-5950.174035
23999,111.498405,-5966.553987,-5954.269023
29999,136.764387,-5891.795542,-5941.774327
35999,161.960864,-5935.466957,-5940.723098
41999,187.354762,-5967.760018,-5944.585515
47999,212.68625,-5967.77975,-5947.484795
53999,238.035214,-5963.496266,-5949.263847
59999,263.071012,-5963.547133,-5950.692176
65999,288.033504,-5963.839183,-5951.887358
71999,313.055112,-5552.342719,-5918.591972
77999,338.211092,-4767.019042,-5830.009439
83999,363.299022,-4090.959177,-5705.791563
89999,388.397084,-2910.828662,-5519.460703
95999,413.81198,-3369.268439,-5385.073686
101999,439.011282,-2552.681269,-5218.462368
107999,464.260951,-2687.568277,-5077.85714
113999,489.424775,-2308.021512,-4932.076318
119999,514.703049,-1970.545165,-4783.99976
125999,540.019166,-1796.207189,-4576.77105
131999,565.799834,-1880.048422,-4372.049674
137999,592.499494,-1619.376405,-4156.255256
143999,619.35585,-1322.247131,-3924.039913
149999,645.634112,-1127.698157,-3685.835044
155999,672.53466,-1023.923813,-3440.257887
161999,698.917784,-974.440649,-3190.591918
167999,724.95739,-841.440855,-2934.274973
173999,751.368683,-873.627357,-2679.781528
179999,777.158111,-803.874801,-2421.797911
185999,802.774719,-754.289074,-2161.320406
191999,828.461765,-641.197704,-1915.763155
197999,854.09049,-536.362658,-1704.230336
203999,879.777812,-490.897268,-1524.22724
209999,905.538171,-531.412321,-1405.256423
215999,931.346505,-439.978138,-1258.791908
221999,957.305834,-414.677366,-1151.891713
227999,983.164308,-402.584078,-1037.642503
233999,1009.116136,-412.95657,-942.889256
239999,1035.089051,-399.396628,-864.331829
245999,1061.186808,-375.81254,-793.312097
251999,1087.395009,-381.79146,-718.399249
257999,1113.531717,-389.041381,-656.882498
263999,1139.779378,-345.396694,-608.039976
269999,1165.775188,-310.822736,-567.196205
275999,1191.909144,-302.284532,-531.114241
281999,1218.169461,-290.847891,-496.934603
287999,1244.415066,-319.296049,-470.827362
293999,1270.488469,-315.900104,-442.941
299999,1296.787014,-308.450288,-418.169774
305999,1323.319167,-304.988022,-395.704722
311999,1349.598021,-304.623372,-378.876005
317999,1375.945899,-306.212473,-367.368496
323999,1402.297572,-379.456013,-361.796433
329999,1428.821736,-282.92775,-349.372204
335999,1455.374113,-302.045123,-342.475554
341999,1481.722391,-289.359601,-336.209665
347999,1508.739614,-1704.964971,-401.32871
353999,1535.17634,-5967.780386,-679.069901
359999,1561.560298,-4623.661214,-890.28313
365999,1587.96295,-1049.543457,-923.969676
371999,1614.285053,-393.576047,-924.558905
377999,1640.856046,-269.159991,-918.564836
383999,1667.593212,-256.832182,-914.13661
389999,1694.434989,-261.80462,-911.685704
395999,1721.050503,-264.479234,-909.79544
401999,1747.497876,-261.600769,-908.333083
407999,1773.847524,-275.889719,-906.162767
413999,1799.921906,-301.432299,-905.439377
419999,1826.512466,-222.055595,-901.119642
425999,1853.311598,-217.965119,-896.768497
431999,1880.024599,-215.569735,-892.315815
437999,1906.73891,-212.702259,-887.640304
443999,1933.838256,-213.778234,-879.356415
449999,1960.716667,-211.966561,-875.808356
455999,1987.364382,-215.572844,-871.484742
461999,2014.533844,-216.919339,-867.862729
467999,2041.641459,-201.557838,-792.692372
473999,2069.766981,-206.712482,-504.638977
479999,2097.854353,-215.94738,-284.253285
485999,2125.137379,-223.492785,-242.950752
491999,2153.259309,-203.855305,-233.464714
497999,2180.729923,-198.334263,-229.923428
