timestep,time,return,return_avg
6000,30.483186,-243.003396,-243.003396
12000,54.247108,-27.977482,-135.490439
18000,76.64799,-4.095808,-91.692229
24000,98.786575,-2.293612,-69.342574
30000,120.958281,-4.369801,-56.34802
36000,142.972184,-1.915873,-47.275995
42000,165.219965,-1.002573,-40.665506
48000,187.468296,-0.10604,-35.595573
54000,210.260277,-0.214636,-31.664358
60000,232.454166,-0.97351,-28.595273
66000,254.725151,-0.596191,-26.049902
72000,276.899412,-0.8327,-23.948468
78000,299.05932,-0.610573,-22.153246
84000,321.104694,-0.270676,-20.590205
90000,343.189154,-0.061232,-19.221607
96000,365.334444,-0.108717,-18.027051
102000,387.598929,-0.035398,-16.968719
108000,409.771748,-0.044465,-16.028482
114000,432.022009,-0.021104,-15.185989
120000,454.341141,-0.05421,-14.4294
126000,476.584143,-0.03918,-2.281189
132000,498.790525,-0.008284,-0.882729
138000,521.144721,-0.069986,-0.681438
144000,543.410183,-0.034738,-0.568494
150000,565.923108,-0.509194,-0.375464
156000,588.155536,-0.245348,-0.291938
162000,610.458862,-0.123237,-0.247971
168000,632.635341,-0.181331,-0.251735
174000,654.684771,-0.123261,-0.247167
180000,676.917749,-0.06644,-0.201813
186000,699.20831,-0.128902,-0.178449
192000,721.584355,-0.353997,-0.154514
198000,744.156153,-0.2744,-0.137705
204000,766.493966,-0.111187,-0.129731
210000,788.91032,-0.981539,-0.175746
216000,811.154551,-3.129649,-0.326792
222000,833.408771,-0.200566,-0.335051
228000,855.713939,-0.099584,-0.337807
234000,878.020107,-0.094234,-0.341463
240000,900.343257,-0.087113,-0.343108
246000,922.892265,-0.123027,-0.347301
252000,945.356271,-0.123476,-0.35306
258000,967.696675,-0.145641,-0.356843
264000,990.218621,-0.135495,-0.361881
270000,1012.686623,-0.133061,-0.343074
276000,1035.017765,-0.12442,-0.337028
282000,1057.336919,-0.116981,-0.336715
288000,1079.689039,-0.147108,-0.335004
294000,1102.08911,-0.132778,-0.33548
300000,1124.7649,-0.140178,-0.339167
306000,1147.324807,-0.123062,-0.338875
312000,1169.884715,-0.122544,-0.327302
318000,1192.479587,-0.088837,-0.318024
324000,1215.052482,-0.122872,-0.318608
330000,1237.988004,-0.093922,-0.274227
336000,1260.54137,-0.083586,-0.121924
342000,1283.265368,-0.069383,-0.115365
348000,1306.196793,-0.02914,-0.111843
354000,1329.036023,-0.01527,-0.107895
360000,1351.92459,-0.01574,-0.104326
366000,1374.795505,-0.016723,-0.099011
372000,1397.673695,-0.030389,-0.094356
378000,1420.567812,-0.031422,-0.088646
384000,1443.532041,-0.020797,-0.082911
390000,1466.65476,-0.066791,-0.079597
396000,1489.593311,-0.041842,-0.075468
402000,1512.520729,-0.061441,-0.072691
408000,1535.442872,-0.062875,-0.06848
414000,1558.411608,-0.059319,-0.064807
420000,1581.306766,-0.053155,-0.060456
426000,1604.186316,-0.042014,-0.056403
432000,1627.066751,-0.025253,-0.051539
438000,1650.200495,-0.013561,-0.047775
444000,1673.161041,-0.055945,-0.044428
450000,1696.13751,-0.033718,-0.041418
456000,1719.467146,-0.006886,-0.037583
462000,1742.837973,-0.005253,-0.034377
468000,1766.062345,-0.005903,-0.033215
474000,1789.114755,-0.00357,-0.03263
480000,1812.24025,-0.003429,-0.032014
486000,1837.020243,-0.004165,-0.031387
492000,1860.339182,-0.004522,-0.030093
498000,1883.557416,-0.005293,-0.028787
